,Human,Social,Manufactured,Financial,Arable.suit,Igrass.suit,SNGrass.suit,Bioenergy.suit,AgroForestry.suit,NNConifer.suit,NConifer.suit,NNBroadleaf.suit,NBroadleaf.suit,Tree.suit,Production
Food.crops ,0.6,0.3,1,0.6,0.9,0,0,0,0,0,0,0,0,0,0.6
Fodder.crops ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF.redMeat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuel ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Softwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiversity,0.5,0.3,1,0.6,0.8,0,0,0,0,0,0,0,0,0,0.4
Carbon,0.5,0.3,1,0.6,0.8,0,0,0,0,0,0,0,0,0,0.2
Recreation,0.5,0.3,1,0.6,0.8,0,0,0,0,0,0,0,0,0,0.2
Flood.reg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Employment,0.5,0.3,1,0.6,0.8,0,0,0,0,0,0,0,0,0,0.3
Ldiversity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
GF.milk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
